route_id,trip_id,trip_headsign,direction_id
C,093600_C..N04R,168 St,0
C,094200_C..S04R,Euclid Av,1
C,094800_C..N04R,168 St,0
C,095400_C..S04R,Euclid Av,1
C,096000_C..N04R,168 St,0
C,096600_C..S04R,Euclid Av,1
C,097200_C..N04R,168 St,0
C,097800_C..S04R,Euclid Av,1
C,098400_C..N04R,168 St,0
C,099000_C..S04R,Euclid Av,1
C,099600_C..N04R,168 St,0
C,100200_C..S04R,Euclid Av,1
C,100800_C..N04R,168 St,0
C,101400_C..S04R,Euclid Av,1
C,102000_C..N04R,168 St,0
C,102600_C..S04R,Euclid Av,1
C,103200_C..N04R,168 St,0
C,103800_C..S04R,Euclid Av,1
C,104400_C..N04R,168 St,0
C,105000_C..S04R,Euclid Av,1
C,105600_C..N04R,168 St,0
C,106200_C..S04R,Euclid Av,1
C,106800_C..N04R,168 St,0
C,107400_C..S04R,Euclid Av,1
C,108000_C..N04R,168 St,0
C,108600_C..S04R,Euclid Av,1
C,109200_C..N04R,168 St,0
C,109800_C..S04R,Euclid Av,1
C,110400_C..N04R,168 St,0
C,111000_C..S04R,Euclid Av,1
C,111600_C..N04R,168 St,0
C,112200_C..S04R,Euclid Av,1
C,112800_C..N04R,168 St,0
C,113400_C..S04R,Euclid Av,1
C,114000_C..N04R,168 St,0
C,114600_C..S04R,Euclid Av,1
C,115200_C..N04R,168 St,0
C,115800_C..S04R,Euclid Av,1
C,116400_C..N04R,168 St,0
C,117000_C..S04R,Euclid Av,1
C,117600_C..N04R,168 St,0
C,118200_C..S04R,Euclid Av,1
C,118800_C..N04R,168 St,0
C,119400_C..S04R,Euclid Av,1
C,120000_C..N04R,168 St,0
C,120600_C..S04R,Euclid Av,1
C,121200_C..N04R,168 St,0
C,121800_C..S04R,Euclid Av,1
C,122400_C..N04R,168 St,0
C,123000_C..S04R,Euclid Av,1
C,123600_C..N04R,168 St,0
C,124200_C..S04R,Euclid Av,1
C,124800_C..N04R,168 St,0
C,125400_C..S04R,Euclid Av,1
C,126000_C..N04R,168 St,0
C,126600_C..S04R,Euclid Av,1
C,127200_C..N04R,168 St,0
C,127800_C..S04R,Euclid Av,1
C,128400_C..N04R,168 St,0
C,129000_C..S04R,Euclid Av,1
C,129600_C..N04R,168 St,0
C,130200_C..S04R,Euclid Av,1
C,130800_C..N04R,168 St,0
C,131400_C..S04R,Euclid Av,1
C,132550_C..N04R,168 St,0
C,133000_C..S04R,Euclid Av,1
C,134100_C..N04R,168 St,0
C,031850_C..S04R,Euclid Av,1
C,033600_C..S04R,Euclid Av,1
C,034300_C..N04R,168 St,0
C,035100_C..S04R,Euclid Av,1
C,035350_C..N04R,168 St,0
C,036400_C..S04R,Euclid Av,1
C,036450_C..N04R,168 St,0
C,037450_C..N04R,168 St,0
C,037500_C..S04R,Euclid Av,1
C,038400_C..N04R,168 St,0
C,038550_C..S04R,Euclid Av,1
C,039450_C..N04R,168 St,0
C,039600_C..S04R,Euclid Av,1
C,040150_C..N04R,168 St,0
C,040600_C..S04R,Euclid Av,1
C,041350_C..N04R,168 St,0
C,041600_C..S04R,Euclid Av,1
C,042100_C..N04R,168 St,0
C,042550_C..S04R,Euclid Av,1
C,043150_C..N04R,168 St,0
C,043550_C..S04R,Euclid Av,1
C,044150_C..N04R,168 St,0
C,044550_C..S04R,Euclid Av,1
C,045050_C..N04R,168 St,0
C,045600_C..S04R,Euclid Av,1
C,046200_C..N04R,168 St,0
C,046450_C..S04R,Euclid Av,1
C,047150_C..N04R,168 St,0
C,047350_C..S04R,Euclid Av,1
C,048100_C..N04R,168 St,0
C,048300_C..S04R,Euclid Av,1
C,048950_C..N04R,168 St,0
C,049250_C..S04R,Euclid Av,1
C,049700_C..N04R,168 St,0
C,050100_C..S04R,Euclid Av,1
C,050450_C..N04R,168 St,0
C,051300_C..S04R,Euclid Av,1
C,051400_C..N04R,168 St,0
C,052150_C..S04R,Euclid Av,1
